window_id,entity_id,hour,login_success_count,login_failure_count,failure_ratio,bytes_transferred,dns_entropy,peer_deviation
1,user_1,6,36,4,0.21340258582459498,8574,2.5095904276451018,1.3916256135817637
2,user_2,19,37,1,0.2370526621593617,7374,1.662230617772454,1.7167176096274397
3,user_3,14,25,1,0.1817879924343034,7892,2.1347885348358617,0.6519178104037695
4,user_4,10,24,3,0.2778902635540047,2678,2.117190157096503,0.4404820951310966
5,user_5,7,12,1,0.19532310765058333,4242,3.240760682099471,1.4222990648760356
6,user_6,20,46,1,0.2744879026631342,5636,3.280676474811105,1.6190020922794308
7,user_7,6,16,3,0.2550115733369398,2059,1.8702173248834997,0.6973319745834587
8,user_8,18,30,3,0.134835202241461,7668,3.994351212622355,0.19235310218284152
9,user_9,22,18,0,0.028623034947123392,4157,2.1669525356882122,1.881046528979208
10,user_10,10,48,4,0.11124547565947991,6915,3.941537389581632,0.7951440421750446
11,user_11,10,27,4,0.20065237579908218,3693,2.527592533295578,1.0355027010549602
12,user_12,23,13,1,0.199776706985249,4627,1.582626832251371,1.675420211814656
13,user_13,20,34,4,0.17738933631231812,6450,2.3626781200667075,1.3513802340785614
14,user_14,3,23,1,0.08241653789701925,2663,3.0858783617534096,1.4704322384815443
15,user_15,7,18,0,0.16837302775431034,6592,3.201763628886917,0.41814324147542736
16,user_16,23,35,3,0.11487806242613695,8392,2.827336458292841,1.0828959476551316
17,user_17,2,11,3,0.29151362861673114,2306,2.619457911432729,1.3915687986901644
18,user_18,21,29,3,0.2546741472798251,7776,2.88223272267832,0.4571000435945993
19,user_19,20,37,4,0.21651885634946197,6864,2.981741809698484,0.34990985419187237
20,user_20,1,16,0,0.07079547592468673,8526,1.7021333158317882,1.9643366866588712
21,user_21,23,17,4,0.07682049682839719,9901,2.424136140153511,1.0332717825420286
22,user_22,11,44,4,0.012130076861529403,6575,2.1053998456935648,0.521658349660818
23,user_23,5,23,0,0.21319886690573622,6530,3.5078493909497395,1.9925073995158487
24,user_24,1,26,0,0.033267246243549396,5413,2.675751586115096,1.9308387025775873
25,user_25,20,45,0,0.13180095055973104,4748,3.9585578522371074,1.1165869072141952
26,user_26,0,49,0,0.060515760700618856,1663,2.4970611061113828,1.7652726863786794
27,user_27,11,13,3,0.2687290787020558,2998,3.54107968304846,0.37741421668275876
28,user_28,21,11,2,0.14261106695463352,8994,3.495862812461378,0.5577427051843638
29,user_29,11,15,2,0.1689826715929151,2495,1.8767938599135736,1.4007156599455426
30,user_30,16,13,0,0.20865482592783824,4304,2.7704969418517966,1.6933222844766118
